date,symbol,gap_percentage,previous_close,open,high,low,close,volume,dollar_change
2023-09-11 04:00:00+00:00,EFSH,2289.85,0.07,1.79,1.8,1.43,1.54,512120,1.72
2024-11-19 05:00:00+00:00,LGMK,2285.43,0.09,2.03,2.95,1.92,2.49,1677350,1.94
2023-10-18 04:00:00+00:00,REE,2262.26,0.13,3.13,3.7,3.1,3.41,148666,3.0
2024-11-12 05:00:00+00:00,SISI,2245.79,0.12,2.7,3.23,2.42,3.01,524021,2.58
2024-04-29 04:00:00+00:00,BKKT,2226.75,0.4,9.3,10.79,9.04,9.96,245838,8.9
2024-05-17 04:00:00+00:00,WHLR,2221.82,0.14,3.16,3.39,2.51,2.69,129456,3.02
2024-11-18 05:00:00+00:00,SMCX,2206.12,0.98,22.6,30.51,22.46,25.52,3780627,21.62
2024-03-08 05:00:00+00:00,GOEV,2192.93,0.1,2.27,2.47,2.13,2.13,4300211,2.17
2024-04-05 04:00:00+00:00,SNPX,2192.82,0.18,4.15,5.35,4.15,5.0,137673,3.97
2024-10-09 04:00:00+00:00,DWTX,2190.32,0.15,3.55,3.77,2.52,2.83,190293,3.4
2023-05-04 04:00:00+00:00,MULN,2184.82,0.06,1.46,1.55,1.26,1.47,44738883,1.4
2023-10-05 04:00:00+00:00,SXTC,2175.0,0.12,2.73,3.34,2.54,2.99,700256,2.61
2023-03-22 04:00:00+00:00,LKCO,2142.61,0.1,2.2,2.23,2.0,2.01,550823,2.1
2024-10-09 04:00:00+00:00,HOLO,2140.25,0.26,5.8,8.19,4.5,6.57,38353727,5.54
2024-06-10 04:00:00+00:00,ICU,2124.25,0.22,4.88,4.88,3.83,4.21,392608,4.66
2023-09-28 04:00:00+00:00,SPRC,2117.94,0.21,4.6,4.65,3.15,3.77,503746,4.39
2024-08-20 04:00:00+00:00,RDHL,2114.26,0.32,7.11,9.24,6.8,8.74,231498,6.79
2023-09-08 04:00:00+00:00,SYRE,2064.14,0.6,13.0,16.58,13.0,14.0,238255,12.4
2023-09-01 04:00:00+00:00,SONN,2055.0,0.2,4.31,4.8,3.8,4.67,484763,4.11
2023-08-21 04:00:00+00:00,SMX,2040.15,0.11,2.26,2.46,1.81,1.93,263676,2.15
2024-01-04 05:00:00+00:00,ACON,2038.76,0.21,4.47,4.89,2.76,3.09,1559566,4.26
2023-10-16 04:00:00+00:00,SLNH,2014.36,0.15,3.18,3.4,2.86,3.27,115804,3.03
2024-09-25 04:00:00+00:00,ARQQ,1999.16,0.25,5.25,5.98,4.19,4.46,438625,5.0
2024-12-23 05:00:00+00:00,ICCT,1997.32,0.12,2.5,2.9,2.31,2.8,502338,2.38
2024-08-15 04:00:00+00:00,PRTG,1993.02,0.11,2.25,4.54,2.21,3.5,2516209,2.14
